Dataset,Background,Bulk,Replicate,Selection
OCa,Oak,Copper,a,NA
OCb,Oak,Copper,b,NA
ODa,Oak,Dilute,a,NA
ODb,Oak,Dilute,b,NA
WCa,Wine,Copper,a,NA
WCb,Wine,Copper,b,NA
WDa,Wine,Dilute,a,NA
WDb,Wine,Dilute,b,NA
CuSO4_CSSI_SelectedA,Oak,Copper,NA,NA
CuSO4_CSSI_SelectedC,Wine,Copper,NA,NA
CuSO4_CSSI_UnselectedA,Oak,Dilute,NA,NA
CuSO4_CSSI_UnselectedC,Wine,Dilute,NA,NA
O8_351_B_2,Oak,Copper,B,Low
O8_351_C_2,Oak,Copper,C,Low
O8_351_E_2,Oak,Copper,E,Low
O8_352_B_2,Oak,Copper,B,Low
O8_352_C_2,Oak,Copper,C,Low
O8_352_E_2,Oak,Copper,E,Low
O8_451_B_2,Oak,Copper,B,High
O8_451_C_2,Oak,Copper,C,High
O8_451_E_2,Oak,Copper,E,High
O8_452_B_2,Oak,Copper,B,High
O8_452_C_2,Oak,Copper,C,High
O8_452_E_2,Oak,Copper,E,High
O8_D1_B_2,Oak,Dilute,B,NA
O8_D1_C_2,Oak,Dilute,C,NA
O8_D1_E_2,Oak,Dilute,E,NA
O8_D2_B_2,Oak,Dilute,B,NA
O8_D2_C_2,Oak,Dilute,C,NA
O8_D2_E_2,Oak,Dilute,E,NA
W8_251_B_2,Wine,Copper,B,Low
W8_251_C_2,Wine,Copper,C,Low
W8_251_E_2,Wine,Copper,E,Low
W8_252_B_2,Wine,Copper,B,Low
W8_252_C_2,Wine,Copper,C,Low
W8_252_E_2,Wine,Copper,E,Low
W8_351_B_2,Wine,Copper,B,High
W8_351_C_2,Wine,Copper,C,High
W8_351_E_2,Wine,Copper,E,High
W8_352_B_2,Wine,Copper,B,High
W8_352_C_2,Wine,Copper,C,High
W8_352_E_2,Wine,Copper,E,High
W8_D1_B_2,Wine,Dilute,B,NA
W8_D1_C_2,Wine,Dilute,C,NA
W8_D1_E_2,Wine,Dilute,E,NA
W8_D2_B_2,Wine,Dilute,B,NA
W8_D2_C_2,Wine,Dilute,C,NA
W8_D2_E_2,Wine,Dilute,E,NA
O1_aD,Oak,Dilute,a,NA
O8_aC6,Oak,Copper,a,NA
O8_aD,Oak,Dilute,a,NA
O8_aF,Oak,Fluconazole,a,NA
O8_bC5,Oak,Copper,b,NA
O8_bC6,Oak,Copper,b,NA
O8_bD,Oak,Dilute,b,NA
O8_bF,Oak,Fluconazole,b,NA
W1_aD,Wine,Dilute,a,NA
W8_aC5,Wine,Copper,a,NA
W8_aD,Wine,Dilute,a,NA
W8_aF,Wine,Fluconazole,a,NA
W8_bC5,Wine,Copper,b,NA
W8_bD,Wine,Dilute,b,NA
W8_bF,Wine,Fluconazole,b,NA